
# ==============================
# TEAM 3 (Size: 5, Avg Skill: 5.00)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
3,P077,Participant_77,user77@university.edu,FIFA,2,ATTACKER,89,BALANCED
3,P059,Participant_59,user59@university.edu,DOTA 2,4,SUPPORTER,79,BALANCED
3,P055,Participant_55,user55@university.edu,Chess,8,COORDINATOR,90,LEADER
3,P066,Participant_66,user66@university.edu,Chess,1,STRATEGIST,67,THINKER
3,P081,Participant_81,user81@university.edu,FIFA,10,STRATEGIST,52,THINKER

# ==============================
# TEAM 5 (Size: 5, Avg Skill: 5.00)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
5,P046,Participant_46,user46@university.edu,CS:GO,5,STRATEGIST,96,LEADER
5,P090,Participant_90,user90@university.edu,Chess,5,COORDINATOR,62,THINKER
5,P084,Participant_84,user84@university.edu,FIFA,5,SUPPORTER,63,THINKER
5,P002,Participant_2,user2@university.edu,FIFA,5,ATTACKER,80,BALANCED
5,P098,Participant_98,user98@university.edu,CS:GO,5,DEFENDER,83,BALANCED

# ==============================
# TEAM 9 (Size: 5, Avg Skill: 5.20)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
9,P093,Participant_93,user93@university.edu,CS:GO,4,DEFENDER,51,THINKER
9,P056,Participant_56,user56@university.edu,Basketball,4,STRATEGIST,86,BALANCED
9,P032,Participant_32,user32@university.edu,DOTA 2,2,ATTACKER,86,BALANCED
9,P073,Participant_73,user73@university.edu,DOTA 2,8,DEFENDER,100,LEADER
9,P063,Participant_63,user63@university.edu,Chess,8,DEFENDER,60,THINKER

# ==============================
# TEAM 12 (Size: 5, Avg Skill: 5.20)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
12,P080,Participant_80,user80@university.edu,Basketball,1,COORDINATOR,82,BALANCED
12,P061,Participant_61,user61@university.edu,CS:GO,7,STRATEGIST,98,LEADER
12,P039,Participant_39,user39@university.edu,FIFA,5,SUPPORTER,66,THINKER
12,P062,Participant_62,user62@university.edu,Basketball,6,ATTACKER,85,BALANCED
12,P033,Participant_33,user33@university.edu,FIFA,7,DEFENDER,65,THINKER

# ==============================
# TEAM 16 (Size: 5, Avg Skill: 5.20)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
16,P068,Participant_68,user68@university.edu,Chess,1,DEFENDER,80,BALANCED
16,P034,Participant_34,user34@university.edu,FIFA,7,SUPPORTER,91,LEADER
16,P087,Participant_87,user87@university.edu,Basketball,4,ATTACKER,51,THINKER
16,P021,Participant_21,user21@university.edu,FIFA,4,STRATEGIST,64,THINKER
16,P047,Participant_47,user47@university.edu,DOTA 2,10,ATTACKER,78,BALANCED

# ==============================
# TEAM 2 (Size: 5, Avg Skill: 5.40)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
2,P1001,Savinu,user101@university.edu,valorant,3,STRATEGIST,80,BALANCED
2,P095,Participant_95,user95@university.edu,CS:GO,2,COORDINATOR,84,BALANCED
2,P037,Participant_37,user37@university.edu,DOTA 2,8,ATTACKER,100,LEADER
2,P009,Participant_9,user9@university.edu,CS:GO,6,SUPPORTER,62,THINKER
2,P075,Participant_75,user75@university.edu,Valorant,8,COORDINATOR,53,THINKER

# ==============================
# TEAM 17 (Size: 5, Avg Skill: 5.40)
# ==============================
TeamID,ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
17,P022,Participant_22,user22@university.edu,Chess,9,ATTACKER,97,LEADER
17,P051,Participant_51,user51@university.edu,FIFA,2,STRATEGIST,57,THINKER
17,P030,Participant_30,user30@university.edu,CS:GO,4,COORDINATOR,54,THINKER
17,P086,Participant_86,user86@university.edu,FIFA,9,STRATEGIST,89,BALANCED
17,P020,Participant_20,user20@university.edu,Valorant,3,COORDINATOR,82,BALANCED

# ==============================
