ID,Name,Email,PreferredGame,SkillLevel,Role,PersonalityScore,PersonalityType
P001,Participant_1,user1@university.edu,Valorant,7,STRATEGIST,95,LEADER
P002,Participant_2,user2@university.edu,FIFA,5,ATTACKER,80,BALANCED
P003,Participant_3,user3@university.edu,DOTA 2,8,DEFENDER,65,THINKER
P004,Participant_4,user4@university.edu,Basketball,4,SUPPORTER,91,LEADER
P005,Participant_5,user5@university.edu,CS:GO,6,COORDINATOR,72,BALANCED
P006,Participant_6,user6@university.edu,CS:GO,2,STRATEGIST,57,THINKER
P007,Participant_7,user7@university.edu,DOTA 2,5,ATTACKER,93,LEADER
P008,Participant_8,user8@university.edu,Valorant,9,DEFENDER,81,BALANCED
P009,Participant_9,user9@university.edu,CS:GO,6,SUPPORTER,62,THINKER
P010,Participant_10,user10@university.edu,Valorant,5,COORDINATOR,96,LEADER
P011,Participant_11,user11@university.edu,Basketball,8,STRATEGIST,84,BALANCED
P012,Participant_12,user12@university.edu,DOTA 2,3,ATTACKER,63,THINKER
P013,Participant_13,user13@university.edu,DOTA 2,4,DEFENDER,97,LEADER
P014,Participant_14,user14@university.edu,FIFA,3,SUPPORTER,73,BALANCED
P015,Participant_15,user15@university.edu,DOTA 2,8,COORDINATOR,66,THINKER
P016,Participant_16,user16@university.edu,CS:GO,6,STRATEGIST,90,LEADER
P017,Participant_17,user17@university.edu,CS:GO,10,ATTACKER,77,BALANCED
P018,Participant_18,user18@university.edu,FIFA,3,DEFENDER,51,THINKER
P019,Participant_19,user19@university.edu,FIFA,9,SUPPORTER,95,LEADER
P020,Participant_20,user20@university.edu,Valorant,3,COORDINATOR,82,BALANCED
P021,Participant_21,user21@university.edu,FIFA,4,STRATEGIST,64,THINKER
P022,Participant_22,user22@university.edu,Chess,9,ATTACKER,97,LEADER
P023,Participant_23,user23@university.edu,CS:GO,3,DEFENDER,87,BALANCED
P024,Participant_24,user24@university.edu,DOTA 2,7,SUPPORTER,63,THINKER
P025,Participant_25,user25@university.edu,FIFA,9,COORDINATOR,100,LEADER
P026,Participant_26,user26@university.edu,Chess,8,STRATEGIST,74,BALANCED
P027,Participant_27,user27@university.edu,Chess,6,ATTACKER,53,THINKER
P028,Participant_28,user28@university.edu,CS:GO,8,DEFENDER,90,LEADER
P029,Participant_29,user29@university.edu,Basketball,5,SUPPORTER,77,BALANCED
P030,Participant_30,user30@university.edu,CS:GO,4,COORDINATOR,54,THINKER
P031,Participant_31,user31@university.edu,Basketball,8,STRATEGIST,97,LEADER
P032,Participant_32,user32@university.edu,DOTA 2,2,ATTACKER,86,BALANCED
P033,Participant_33,user33@university.edu,FIFA,7,DEFENDER,65,THINKER
P034,Participant_34,user34@university.edu,FIFA,7,SUPPORTER,91,LEADER
P035,Participant_35,user35@university.edu,Basketball,8,COORDINATOR,78,BALANCED
P036,Participant_36,user36@university.edu,Chess,9,STRATEGIST,65,THINKER
P037,Participant_37,user37@university.edu,DOTA 2,8,ATTACKER,100,LEADER
P038,Participant_38,user38@university.edu,Valorant,1,DEFENDER,78,BALANCED
P039,Participant_39,user39@university.edu,FIFA,5,SUPPORTER,66,THINKER
P040,Participant_40,user40@university.edu,Chess,9,COORDINATOR,100,LEADER
P041,Participant_41,user41@university.edu,Basketball,5,STRATEGIST,70,BALANCED
P042,Participant_42,user42@university.edu,DOTA 2,7,ATTACKER,53,THINKER
P043,Participant_43,user43@university.edu,DOTA 2,2,DEFENDER,100,LEADER
P044,Participant_44,user44@university.edu,FIFA,6,SUPPORTER,71,BALANCED
P045,Participant_45,user45@university.edu,Chess,2,COORDINATOR,68,THINKER
P046,Participant_46,user46@university.edu,CS:GO,5,STRATEGIST,96,LEADER
P047,Participant_47,user47@university.edu,DOTA 2,10,ATTACKER,78,BALANCED
P048,Participant_48,user48@university.edu,Valorant,6,DEFENDER,65,THINKER
P049,Participant_49,user49@university.edu,Basketball,3,SUPPORTER,95,LEADER
P050,Participant_50,user50@university.edu,Basketball,5,COORDINATOR,70,BALANCED
P051,Participant_51,user51@university.edu,FIFA,2,STRATEGIST,57,THINKER
P052,Participant_52,user52@university.edu,FIFA,2,ATTACKER,99,LEADER
P053,Participant_53,user53@university.edu,DOTA 2,7,DEFENDER,71,BALANCED
P054,Participant_54,user54@university.edu,Valorant,8,SUPPORTER,69,THINKER
P055,Participant_55,user55@university.edu,Chess,8,COORDINATOR,90,LEADER
P056,Participant_56,user56@university.edu,Basketball,4,STRATEGIST,86,BALANCED
P057,Participant_57,user57@university.edu,CS:GO,7,ATTACKER,54,THINKER
P058,Participant_58,user58@university.edu,Valorant,3,DEFENDER,95,LEADER
P059,Participant_59,user59@university.edu,DOTA 2,4,SUPPORTER,79,BALANCED
P060,Participant_60,user60@university.edu,CS:GO,4,COORDINATOR,57,THINKER
P061,Participant_61,user61@university.edu,CS:GO,7,STRATEGIST,98,LEADER
P062,Participant_62,user62@university.edu,Basketball,6,ATTACKER,85,BALANCED
P063,Participant_63,user63@university.edu,Chess,8,DEFENDER,60,THINKER
P064,Participant_64,user64@university.edu,CS:GO,6,SUPPORTER,92,LEADER
P065,Participant_65,user65@university.edu,DOTA 2,7,COORDINATOR,77,BALANCED
P066,Participant_66,user66@university.edu,Chess,1,STRATEGIST,67,THINKER
P067,Participant_67,user67@university.edu,Basketball,1,ATTACKER,92,LEADER
P068,Participant_68,user68@university.edu,Chess,1,DEFENDER,80,BALANCED
P069,Participant_69,user69@university.edu,CS:GO,5,SUPPORTER,68,THINKER
P070,Participant_70,user70@university.edu,Basketball,1,COORDINATOR,96,LEADER
P071,Participant_71,user71@university.edu,Chess,8,STRATEGIST,70,BALANCED
P072,Participant_72,user72@university.edu,DOTA 2,5,ATTACKER,61,THINKER
P073,Participant_73,user73@university.edu,DOTA 2,8,DEFENDER,100,LEADER
P074,Participant_74,user74@university.edu,FIFA,3,SUPPORTER,82,BALANCED
P075,Participant_75,user75@university.edu,Valorant,8,COORDINATOR,53,THINKER
P076,Participant_76,user76@university.edu,FIFA,7,STRATEGIST,91,LEADER
P077,Participant_77,user77@university.edu,FIFA,2,ATTACKER,89,BALANCED
P078,Participant_78,user78@university.edu,FIFA,6,DEFENDER,51,THINKER
